CountryName	CountryCode	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Low & middle income	LMY	38.05768925	38.09191701	38.16349406	38.21627353	38.22321175	38.36751536	38.1628857	38.29586763	38.34819472	..	..
Low income	LIC	38.00129898	38.03662154	38.19800555	38.53453762	38.68663475	38.85419334	39.06564279	39.25937079	39.25171689	..	..
Lower middle income	LMC	46.61478645	46.75222433	46.89688358	46.93035489	46.83944078	46.91915945	45.80997567	46.10341288	45.93120065	..	..
Luxembourg	LUX	49.80694981	49.80694981	50.57915058	50.57915058	50.46332046	50.59459459	50.68339768	50.74131274	50.53281853	..	..
"Macedonia, FYR"	MKD	48.28942194	48.13212741	42.6476417	42.13238208	40.1665345	44.36954798	44.32989691	50.23790642	49.96034893	..	..
Madagascar	MDG	70.31846477	70.31846477	70.31846477	70.66581834	71.18169	71.18169	71.16767934	71.18486752	71.18425576	..	..
Malawi	MWI	54.9427238	56.05642766	52.87441663	57.64743318	58.17776835	60.29910904	59.23843869	60.82944421	61.4128129	..	..
Malaysia	MYS	21.73976564	21.64571602	21.96164967	21.91721199	22.22797139	22.7240907	23.18977325	23.54283975	23.85938213	..	..
Maldives	MDV	30	26.66666667	23.33333333	26.66666667	26.66666667	26.33333333	26.33333333	26.33333333	26.33333333	..	..
Mali	MLI	33.10304133	33.16368762	33.27104795	33.2333489	33.6385317	33.64312115	34.13484785	34.13484785	33.76605283	..	..
Malta	MLT	29.0625	28.75	29.0625	29.0625	29.0625	32.28125	32.28125	32.1875	31.96875	..	..
Marshall Islands	MHL	72.22222222	72.22222222	72.22222222	72.22222222	72.22222222	72.22222222	72.22222222	66.66666667	63.88888889	..	..
Mauritania	MRT	38.47967401	38.47967401	38.47967401	38.47967401	38.46997186	38.52818473	38.47967401	38.47967401	38.52818473	..	..
Mauritius	MUS	47.29064039	46.30541872	45.32019704	44.82758621	44.82758621	44.82758621	43.84236453	42.85714286	42.36453202	..	..
Mexico	MEX	54.82136886	54.82136886	54.88824301	54.89081509	54.89081509	54.89081509	54.89081509	54.89081509	54.89081509	..	..
"Micronesia, Fed. Sts."	FSM	32.14285714	32.14285714	32.14285714	32.14285714	31.42857143	31.42857143	31.42857143	31.42857143	31.42857143	..	..
Middle East & North Africa	MEA	33.32539925	33.31189661	33.34980051	33.1370544	33.08778019	33.12638239	33.14500681	33.17039397	33.22656777	..	..
Middle East & North Africa (excluding high income)	MNA	22.91136019	22.90173747	22.95023248	22.68442858	22.64950677	22.70443359	22.72946522	22.7680241	22.84766123	..	..
Middle East & North Africa (IDA & IBRD countries)	TMN	22.88520984	22.87628682	22.92530191	22.6596948	22.63063603	22.69149571	22.71514351	22.75367137	22.83324822	..	..
Middle income	MIC	38.06698466	38.10102103	38.15781273	38.16387269	38.14690875	38.28737916	38.01423555	38.13721436	38.19941798	..	..
Moldova	MDA	75.9805412	75.49407115	75.5548799	75.43326239	75.15962299	75.03805175	74.94672755	74.86305539	74.84793187	..	..
Mongolia	MNG	73.02543835	73.53948351	73.51373619	73.47254049	73.17129689	73.1146528	73.06251448	72.99093694	72.93564458	..	..
Morocco	MAR	67.19471208	67.09836433	67.12973336	67.17678691	67.22518485	67.19314363	67.45193816	68.12233923	68.11785794	..	..
Mozambique	MOZ	62.62875455	62.50158956	62.88308451	63.13741448	63.29001246	63.51890943	63.51890943	63.51890943	63.51890943	..	..
